sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Plymouth_MBA1A_20200717_20200921_SF,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20200717_20200921_SF
ARMS_Plymouth_MBA1B_20190716_20190918_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20190716_20190918_MF100
ARMS_Plymouth_MBA1B_20190716_20190918_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20190716_20190918_MF500
ARMS_Plymouth_MBA1B_20190716_20190918_SF40,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20190716_20190918_SF40
ARMS_Plymouth_MBA1B_20200717_20200922_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20200717_20200922_MF100
ARMS_Plymouth_MBA1B_20200717_20200922_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20200717_20200922_MF500
ARMS_Plymouth_MBA1B_20200717_20200922_SF,arms_id,fail,not found,ARMS_Plymouth_MBA1B_20200717_20200922_SF
ARMS_Plymouth_MBA1C_20190716_20190920_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20190716_20190920_MF100
ARMS_Plymouth_MBA1C_20190716_20190920_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20190716_20190920_MF500
ARMS_Plymouth_MBA1C_20190716_20190920_SF40,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20190716_20190920_SF40
ARMS_Plymouth_MBA1C_20200717_20200923_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20200717_20200923_MF100
ARMS_Plymouth_MBA1C_20200717_20200923_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20200717_20200923_MF500
ARMS_Plymouth_MBA1C_20200717_20200923_SF,arms_id,fail,not found,ARMS_Plymouth_MBA1C_20200717_20200923_SF
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,arms_id,fail,not found,ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,arms_id,fail,not found,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH
ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,arms_id,fail,not found,ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH
ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,arms_id,fail,not found,ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO
