ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Svalbard,S2,ARMS_Svalbard_S2_20180708_20190805,List of samples and plates with photo numbers 2019 S2.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/64/F0/64F008C626AD6F1763D6A574E346CDAC68C13D1987AFCE580A6735B557081CEE.xlsx
Limfjord,Green33,ARMS_Limfjord_Green33_20191029_20201110,ManualObservations_ARMS_Limfjord_1-191029-201110.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/BC/EC/BCEC051C2E9DB7AB672DCDC70171CA27666FC9C6EE3C144191AAE5B277BFABB9.xlsx
BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303,manualObservations_zbe1.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/8A/A9/8AA937F9A1C5EA20D44D3303A1D327CF0B0BC4233F84D7C5CCDA04556C8E7062.xlsx
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ImageDescription_ARMS_BelgiumCoast_AJJCD89_20210225_20210819.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/D4/A2/D4A22E683CD2EBA6BAE624393943687AEA9FF8BFEA8945A3D10AC100C58EE118.csv
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,ManualObservations_ARMS_Galway_GURR1_200721_210708.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/E9/2B/E92B8F8E671E5549C12391B043BF01569C1A4C56BC1FFF55A0056AAB0474F6F8.xlsx
SWC,Gbg2,ARMS_SWC_Gbg2_20200206_20200520,ARMS_SwedishWestCoast_Gbg2_200206_200520.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/95/CF/95CF67122EEE67E4D35834F0D8F48E93C72CD5D7CD01F135B7E8FE4BB5484AE6.xlsx
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,ARMS_Galway_GURR3_200723_210708_Images.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/5D/E2/5DE2C6241197D6C9B08F50526715172BBE57DC19BFEA5B841FACD34563E213DE.xlsx
BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ImageDescription_ARMS_BelgiumCoast_AZBE1_20190924_20200303_corrected.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/4B/78/4B783B308AAE3C44EA0EC446DDD3CDB2A5DB5CEFCE81A7941D5D890726A38309.csv
Limfjord,Green33,ARMS_Limfjord_Green33_20191029_20201110,ARMS_salinity_temp_Limfjord.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/BC/A6/BCA6DD01168FAC65E08A8502D147547E355E619B96ED5E37F48B59B71B3EF657.xlsx
Limfjord,Red2,ARMS_Limfjord_Red2_20191029_20201110,ManualObservations_ARMS_Limfjord_3-191029-201110.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/3F/CD/3FCDFD0EE81170B4022CB514A2455FFD8C3CBADA41DB76C6182937933AE22706.xlsx
Koster,VH2,ARMS_Koster_VH2_20190527_20200716,VH2_190527-200716.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/E6/1D/E61D1CF911187A3F014BFEDDE83B8062CB729547A752FAEECDE19972278EA6BA.xlsx
SWC,Bjorko1,ARMS_SWC_Bjorko1_20200131_20200518,ARMS_SwedishWestCoast_Bjorko1_200131_200518.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/AA/F8/AAF88D0266E5B44FD07E7DE05C6FF58B553AB34EB2BADF72462D288E409C3FC7.xlsx
