MaterialSample-ID,AreaReplicateID (ARMS unit area replicates),TechnicalReplicateID (material replicates for sequencing purposes)
ARMS_Roscoff_MarBloR1_20190612_20190916_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR1_20190612_20190916_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR1_20190612_20190916_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20180706_20190806_SF40_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20190806_20200804_MF100,no replicate,no replicate
ARMS_Svalbard_S1_20190806_20200804_MF500,no replicate,no replicate
ARMS_Svalbard_S1_20190806_20200804_SF40,no replicate,no replicate
ARMS_Svalbard_S2_20180708_20190805_MF100_ETOH,no replicate,no replicate
ARMS_Svalbard_S2_20180708_20190805_MF500_ETOH,no replicate,no replicate
ARMS_Svalbard_S2_20180708_20190805_SF40_ETOH,no replicate,no replicate
ARMS_Svalbard_S2_20190805_20200801_MF100,no replicate,no replicate
ARMS_Svalbard_S2_20190805_20200801_MF500,no replicate,no replicate
ARMS_Svalbard_S2_20190805_20200801_SF40,no replicate,no replicate
ARMS_SWC_Bjorko1_20200131_20200518_MF100,no replicate,no replicate
ARMS_SWC_Bjorko1_20200131_20200518_MF500,no replicate,no replicate
ARMS_SWC_Bjorko1_20200131_20200518_SF40,no replicate,no replicate
ARMS_SWC_Gbg1_20200206_20200520_MF100,no replicate,no replicate
ARMS_SWC_Gbg1_20200206_20200520_MF500,no replicate,no replicate
ARMS_SWC_Gbg1_20200206_20200520_SF40,no replicate,no replicate
ARMS_SWC_Gbg2_20200206_20200520_MF100,no replicate,no replicate
ARMS_SWC_Gbg2_20200206_20200520_MF500,no replicate,no replicate
ARMS_SWC_Gbg2_20200206_20200520_SF40,no replicate,no replicate
ARMS_SWC_Gbg3_20200206_20200529_MF100,no replicate,no replicate
ARMS_SWC_Gbg3_20200206_20200529_MF500,no replicate,no replicate
ARMS_SWC_Gbg3_20200206_20200529_SF40,no replicate,no replicate
ARMS_SWC_Gbg4_20200206_20200529_MF100,no replicate,no replicate
ARMS_SWC_Gbg4_20200206_20200529_MF500,no replicate,no replicate
ARMS_SWC_Gbg4_20200206_20200529_SF40,no replicate,no replicate
ARMS_SWC_Helsingborg1_20200305_20200604_MF100,no replicate,no replicate
ARMS_SWC_Helsingborg1_20200305_20200604_MF500,no replicate,no replicate
